W,Mann,w,mann,ww,frau
1,Hans,51,Gilg,1,Margret (Greta)
2,Kuntz,52,Merckel,2,Els (Elisabeth)
3,Heinz,53,Adam,3,Anna
4,Fritz (Friderich),54,Bentz (Benlin),4,Katherina (Kathrin)
5,Jörg (Georg),55,Jecklin,5,Barbara
6,Peter (Peyr),56,Kilian,6,Kungund
7,Ulrich,57,Craft,7,Engel
8,Klaus (Niklaus),58,Seytz,8,Agnes
9,Michel,59,Balthasar,9,Ännlin
10,Linhart (Leonhart),60,Jeronimus,10,Dorothea
11,Herman,61,Frantz,11,Cristina
12,Jacob,62,Melchior,12,Enndlin
13,Andreas,63,Ewalt,13,Ällin
14,Martin (Merten),64,Philips,14,Magdalena
15,Steffan,65,Georig,15,Appolonia
16,Erhardt,66,Lutz,16,Ursel
17,Lorentz (Lorncz),67,Ekarius,17,Othilia
18,Paulus (Paul),68,Oswald,18,Walburg
19,Mathes,69,Sigmund,19,Adelheid
20,Eberhart,70,Wernher,20,Geras
21,Thomas,71,Alexander,21,Brid
22,Caspar,72,Bertholdt,22,Irmel (Irma)
23,Wendel,73,Gabriel,23,Genefe
24,Bartholomeus (Barthel),74,Bestlin (Best),24,Ella (Ell)
25,Bernhard,75,Hug,25,Agatha
26,Albrecht,76,Lentz,26,Brigitta
27,Wilhelm,77,Lucas,27,Eva
28,Ott,78,Seitz,28,Juliana
29,Berchtold,79,Walther,29,Affra
30,Burckhart,80,Benedict,30,Clara (Clar)
31,Simon,81,Eckhart,31,Cecilia
32,Jobst (Job),82,Hartman,32,Helena (Elen)
33,Marx,83,Karl,33,Alladt
34,Diether (Dietrich),84,Augustin,34,Marlein
35,Sebolt,85,Blesy,35,Mechthilt
36,Aulber,86,Gallus,36,Gerlin
37,Cristoff,87,Moritz,37,Metze (Metzlerlin)
38,Sixt,88,Reinhart,38,Nopricht
39,Wolfgang,89,Rudolf,39,Reusin
40,Johannes,90,Urban,40,Agth
41,Ludwig,91,Urschel,41,Duretta
42,Sewolt,92,Alba,42,Endlein
43,Utz,93,Clewin,43,Fronicka
44,Wolff,94,Erasmus,44,Martha (Marth)
45,Veit,95,Felix,45,Gerdrud (Gertrudt)
46,Cristan,96,Gut,46,Jonata (Jonatha)
47,Jost (Jos),97,Honn,47,Martsch
48,Sebastian,98,Max,48,Nopurg
49,Engelhart,99,Pesolt,49,Peternella (Petternel)
50,Antoni,100,Ruprecht,,
