W,frau
1,"Margret (Margareth,  Merglin, Gret, Gretlin, Margaretha)"
2,"Els (Elisabeth, Elspeth, Beth)"
3,"Anna (Ann, Ana, Anne)"
4,"Katherina (Kathrin, Katrina, Ketlin, Kattera, Katterein)"
5,"Barbara (Barbera, Barb, Barbel, Berbelin, Berblein, Berblin, Barba, Barbarra, Barbelin, Berberin, Barbel)"
6,"Kungundt (Kungund, Kungunt, Kunigund, Kunigundt, Kunlen, Kunlein, Kwnn, Kuen, Kwne, Kun)"
7,"Engel (Engellin, Enngel, Engell, Engelin, Englin, Enngelin)"
8,"Agnes (Agneß, Angnes, Nyeß, Neslin, Nes)"
9,"Ännlin (Änlin, Ändlin, Aenlin)"
10,"Dorothea (Dorethe, Dorlein, Dorethea, Darathee, Dorethin, Dorothe, Dorothee, Dorothen)"
11,"Cristina (Crista, Krista, Kristina, Ckristina, Criste, Kristan, Cristan, Cristin, Cristlein, Kristen)"
12,"Enndlin (Endlin, Endlen, Enlein, Ennlin)"
13,"Ällin (Aellin, Äellin)"
14,"Magdalen (Madalena, Madlen, Magdalen, Magdalena, Madalen, Magdalin, Magdelen)"
15,"Applonia (Apell, Appel, Apel, Appolonia, Apolonia)"
16,"Ursel (Ursell, Ursula)"
17,"Otilia (Otily, Otilien, Ottilia, Othilia, Ottilg, Ottilig)"
18,"Walburg (Walpurg, Walpurgk, Walppurgen)"
19,"Adelhaid (Adelhait, Adelhayt, Adelheit, Alheyt, Alhayt, Alheitt)"
20,"Geras (Jeras, Gera, Ger, Geryß, Gerhaus, Gerhauß)"
21,"Brid (Bridlin, Brida, Breide)"
22,"Irmel (Yrmel, Ermel, Yrmell, Irm, Irma, Irmla)"
23,Genefe
24,Ella (Ell)
25,Agatha
26,"Brigitta (Brigita, Brigida, Birgitta)"
27,Eva
28,Juliana
29,Affra
30,Clara (Clar)
31,"Cecilia (Cecilie, Cecilien)"
32,Helena (Elen)
33,"Alladt (Alheit, Allet)"
34,Marlein
35,"Mechthilt (Mechthild, Mächthilt, Mecht, Mechttelt)"
36,Gerlin
37,Metze (Metzlerlin)
38,Nopricht
39,"Reusin (Reuss, Reussen, Reuß)"
40,"Agth (Agt, Ägtlin)"
41,"Duretta (Dorell, Durettea)"
42,Endlein
43,"Fronicka (Fronica, Fronicka)"
44,Martha (Marth)
45,Gerdrud (Gertrudt)
46,Jonata (Jonatha)
47,Martsch
48,Nopurg
49,Peternella (Petternel)
